OID_,Id,gridcode,Shape_Length,Shape_Area,CH_mean,ARVI_mean,ARVI_med,ARVI_max,EVI_mean,EVI_med,EVI_max,NDVI_mean,NDVI_med,NDVI_max,SAVI_mean,SAVI_med,SAVI_max,Veg_class
120,120,120,12.400000007823110,3.550000000465661,0.0066667,0.3071367,0.3022222,0.4090056,0.3212500,0.3088472,0.3667272,0.4629654,0.4573489,0.5369660,0.3174705,0.3057865,0.3534066,woody
121,121,121,37.000000000000000,14.669999998733401,0.0100000,0.3017524,0.3282722,0.4750327,0.3021246,0.3067954,0.3808752,0.4538742,0.4659950,0.5786234,0.2985295,0.3041793,0.3617914,woody
122,122,122,2.399999998509884,0.209999999832362,,,,,,,,,,,,,,woody
123,123,123,12.599999997764826,2.729999998845160,0.0150000,0.1668244,0.1668244,0.2515314,0.2531779,0.2531779,0.3031838,0.3628772,0.3628772,0.4328293,0.2639999,0.2639999,0.3097877,woody
124,124,124,25.000000001862645,4.610000000856817,0.0160000,0.0833904,0.0702290,0.1724015,0.2109215,0.2078688,0.2598391,0.3002955,0.2921659,0.3700000,0.2289098,0.2280575,0.2718367,woody
125,125,125,6.400000000372529,1.020000000223517,,,,,,,,,,,,,,woody
126,126,126,1.400000000372529,0.059999999832362,,,,,,,,,,,,,,woody
127,127,127,20.399999994784594,3.849999998044222,0.0120000,0.1385473,0.0753851,0.2570123,0.2319233,0.2036674,0.2917409,0.3361080,0.2902349,0.4350095,0.2430585,0.2209142,0.2985026,woody
128,128,128,9.399999992921948,2.310000000298023,0.0050000,0.1657765,0.1657765,0.1742761,0.2486736,0.2486736,0.2616790,0.3627531,0.3627531,0.3708005,0.2605561,0.2605561,0.2730605,woody
129,129,129,18.199999999254942,6.179999998845160,0.0060000,0.1533738,0.1965134,0.2524272,0.2367051,0.2577805,0.3018544,0.3371392,0.3686834,0.4169596,0.2408295,0.2592691,0.2980528,woody
130,130,130,27.399999998509884,9.649999999254941,0.0057143,0.2511975,0.2801036,0.3853487,0.2872849,0.2999607,0.3353213,0.4219662,0.4461239,0.5153678,0.2901290,0.3015821,0.3258908,woody
131,131,131,24.199999999254942,4.799999999254942,0.0100000,0.1155647,0.0991577,0.1937955,0.2228856,0.2120316,0.2635304,0.3239899,0.3095034,0.3878005,0.2383053,0.2295920,0.2786313,woody
132,132,132,14.800000000745058,3.359999999366701,0.0100000,0.1519722,0.1110460,0.3636749,0.2500113,0.2313650,0.3615893,0.3346521,0.3045687,0.5026825,0.2515382,0.2368820,0.3480672,woody
